Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,epochs,train_time,test_time,params
cora_runen7a8lqg_GAE_hypervjhe5nom,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,10.829037189483644,10.917556524276732,48000
cora_runen7a8lqg_GAE_hypernk4mjitt,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,10.81609296798706,10.905126094818115,48000
cora_runen7a8lqg_GAE_hyperftdnefhx,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,11.33712077140808,11.369483709335327,48000
cora_runen7a8lqg_GAE_hyper9zuuklw4,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,11.54142999649048,11.628859043121338,48000
cora_runen7a8lqg_GAE_hyper3xbvkiet,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,11.984429121017456,12.061255693435667,48000
cora_runen7a8lqg_GAE_hyperz198u3qi,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,10.675213813781738,10.786733865737917,48000
cora_runen7a8lqg_GAE_hyper60i3vibv,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,11.62855577468872,11.710574626922607,48000
cora_runen7a8lqg_GAE_hyperh6o30klt,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,11.781404495239258,11.846735000610352,48000
cora_runen7a8lqg_GAE_hyperf4vrfrmy,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,12.226313591003418,12.338135480880736,48000
cora_runen7a8lqg_GAE_hyper1vpyc94q,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,10.59242033958435,10.67024564743042,48000
cora_runen7a8lqg_GAE_hyper3pue05i4,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,12.125708103179932,12.174301147460938,48000
cora_runen7a8lqg_GAE_hypern9z68ob9,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,12.657758474349976,12.722718954086304,48000
cora_runen7a8lqg_GAE_hyper64cd35s3,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,11.520500659942629,11.610960721969604,48000
cora_runen7a8lqg_GAE_hyperw6wu8kpf,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,3.876367330551148,3.917923927307129,48000
cora_runen7a8lqg_GAE_hyperhjrirym8,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,5.289317846298218,5.412781476974487,48000
cora_runen7a8lqg_GAE_hyperkmqb07ws,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,5.246496200561523,5.335439682006836,48000
cora_run4mwp16s9_GAE_hypercqfq63e5,11.37,19.4,53.65,80.94,93.77,99.02,22.6,11.37,19.4,57.19,75.08,93.77,99.02,90.58,93.0,85.08,128,128,32,100,34.98961591720581,35.15522480010986,216576
cora_runen7a8lqg_GAE_hyperuuuja9du,2.42,17.73,50.0,60.76,90.97,98.26,12.54,2.42,17.73,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,5.920045375823975,5.9715776443481445,48000
cora_runen7a8lqg_GAE_hyperk8y08wct,2.42,17.73,50.0,60.76,90.97,98.26,12.54,2.42,17.73,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,5.583356142044067,5.691010475158691,48000
cora_runpchd5tlp_GAE_hyperq8iozn3u,15.91,27.6,55.52,72.4,87.99,99.35,28.11,15.91,27.6,55.52,72.4,87.99,99.35,89.51,93.69,82.09,128,128,32,20,16.284999132156372,16.36816954612732,216576
cora_runpchd5tlp_GAE_hyperc2wm4aj4,15.91,27.6,55.52,72.4,87.99,99.35,28.11,15.91,27.6,55.52,72.4,87.99,99.35,89.51,93.69,82.09,128,128,32,20,21.137340545654297,21.23205137252808,216576
cora_runen7a8lqg_GAE_hypersw0gqpit,2.42,17.73,50.0,60.76,90.97,98.26,12.54,2.42,17.73,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,5.911537408828735,5.989769458770752,48000
